bug_line,signal,is_libc,is_rfsimulator,category,test_case
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_0_20251214_224306.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_0_20251214_224323.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_1_20251214_224253.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_1_20251214_224310.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_1_20251214_224327.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_2_20251214_224257.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_2_20251214_224314.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_688_mut2/ue_crash_2_20251214_224331.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_0_20251214_224531.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_0_20251214_224548.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_0_20251214_224605.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_1_20251214_224534.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_1_20251214_224551.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_1_20251214_224608.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_2_20251214_224539.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_2_20251214_224555.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut1/ue_crash_2_20251214_224613.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut2/ue_crash_0_20251214_224622.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut2/ue_crash_0_20251214_224639.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut2/ue_crash_1_20251214_224626.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut2/ue_crash_1_20251214_224643.log
/home/openairinterface5g/openair2/LAYER2/NR_MAC_COMMON/nr_mac_common.c:5122,SIGSEGV,False,False,c1,c1_gdb_results/c1_compiled_value_range_payloads_mac_sch_693_mut2/ue_crash_2_20251214_224630.log
